,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
104,1202,2.1813031272634222,10.209525559211787,38,173423,35.005963384487465,163961.86131030612,161,691856,158.0059633844875,682394.8613103061,44,190382,36.48101458839631,167478.14676775408,167,708815,159.4810145883964,685911.1467677542
105,1222,0.04385755768277925,2.490275672434649,94,354218,82.07166378684387,315249.4069176626,188,698079,176.07166378684389,659110.4069176625,116,433035,89.09115397329296,339164.3170089576,210,776896,183.091153973293,683025.3170089575
106,1212,0.22041623669994465,2.5143619960492374,51,171441,47.05979200186612,158576.70582785516,184,680077,180.0597920018661,667212.7058278553,61,212768,49.31425021107418,168518.1932878937,194,721404,182.31425021107415,677154.1932878937
107,1213,0.05402714776369954,1.8336971070997985,40,131181,31.209186379265297,103437.01395106269,177,655746,168.2091863792653,628002.0139510628,54,181453,35.84206893440225,119148.61864841422,191,706018,172.8420689344022,643713.6186484143
108,1226,0.5455550011606295,7.813289428543857,23,108409,19.109547179714397,95755.02645890426,119,634664,115.10954717971441,622010.0264589043,46,188110,25.57796340212787,119063.00376054336,142,714365,121.57796340212786,645318.0037605434
109,1221,0.061878570228000376,1.6359545790325456,52,239198,49.1672344367285,228916.5658323074,155,688925,152.1672344367285,678643.5658323072,64,299901,52.826902818637286,247325.7718665638,167,749628,155.82690281863728,697052.7718665635
110,1225,0.7691984618243612,5.468063924299363,42,268586,38.145102020453564,248929.68908930218,117,682362,113.14510202045359,662705.6890893022,55,343507,42.4227199240771,274518.6029056156,130,757283,117.42271992407713,688294.6029056158
111,1209,0.4537618928180017,3.7119224694257764,33,202285,28.999794825251357,179536.54388274052,109,683427,104.99979482525136,660678.5438827404,43,259630,31.089332556106218,192938.3574351577,119,740772,107.0893325561062,674080.3574351575
112,1217,1.6484535397850106,7.565466513540052,70,255361,65.17893519413364,237209.13716281852,186,682680,181.1789351941337,664528.1371628186,82,305140,69.05522816448092,253502.73969391483,198,732459,185.0552281644809,680821.7396939144
113,1204,0.4810498554911332,5.846596872495769,70,368144,61.88753719280378,333523.2121810081,133,712496,124.88753719280372,677875.2121810078,83,441502,66.14787183051956,356970.9505228866,146,785854,129.14787183051956,701322.9505228865
114,1220,0.6325224749144991,5.812793022584442,71,330673,60.86503035361506,282616.08471729635,152,696981,141.86503035361508,648924.0847172961,102,466401,68.99141431958398,318288.05858018703,183,832709,149.99141431958398,684596.0585801866
115,1302,2.4178499330719414,9.242384194563481,64,231242,61.67791034852172,223738.9241650746,197,686820,194.6779103485218,679316.9241650744,71,259030,63.3939246801225,230149.9443998065,204,714608,196.39392468012255,685727.9443998063
116,1308,2.183389252536144,12.132444263321533,64,282852,63.191496203682355,279152.7173243781,155,688637,154.1914962036824,684937.717324378,67,293880,63.99909312926725,282252.7904899666,158,699665,154.99909312926732,688037.7904899665
117,1309,1.3650060099867083,6.921016659317021,48,218575,47.44567558041806,216678.6880034697,142,685651,141.44567558041803,683754.6880034701,52,238219,48.75386825973235,223285.51425493206,146,705295,142.75386825973234,690361.5142549325
118,1303,0.9807175327375852,6.079445844489148,55,310093,51.633526687751825,291633.9391156512,125,696662,121.63352668775178,678202.9391156514,63,355588,54.465590726778615,305721.8715950164,133,742157,124.4655907267786,692290.8715950164
119,1306,0.07697375617849962,1.7539348481650268,44,263557,41.55284164277522,251602.9286819217,126,677352,123.5528416427752,665397.9286819219,55,317084,45.137783850701396,268992.8729805055,137,730879,127.13778385070141,682787.8729805058
120,1304,0.1272136570774989,2.0891191069824853,43,277221,39.1595901488836,254439.61556576073,119,691661,115.15959014888357,668879.6155657606,53,332666,41.571563352816035,267731.8094052918,129,747106,117.57156335281601,682171.8094052917
121,1312,2.068516151436335,10.295424257547864,54,231608,53.2751373978862,226646.86049795515,152,684053,151.27513739788617,679091.8604979552,58,255640,54.26587615401516,232624.492459016,156,708085,152.26587615401516,685069.4924590162
122,1313,0.1825194271984992,3.4017373244113718,53,369994,49.468772070703366,348664.8834064938,107,690020,103.46877207070335,668690.8834064939,66,457084,53.352704144426774,371894.9223663749,120,777110,107.35270414442672,691920.922366375
123,1311,0.2779449768145016,3.3203427926618705,51,305215,46.64995546294661,281046.5969241058,110,704108,105.6499554629466,679939.5969241054,62,358795,49.13375914572767,292942.1103310439,121,757688,108.1337591457277,691835.1103310436
