,geoid,perim (b),w_perim (b),area (b),w_area (b),a/p^2 (b) 0.5,w_a/p^2 (b) 0.5,rank_a/p^2 (b) 0.5,rank_w_a/p^2 (b) 0.5,a/p^2 (b) 0.1,w_a/p^2 (b) 0.1,rank_a/p^2 (b) 0.1,rank_w_a/p^2 (b) 0.1
163,1904,975,5497,78336,761571,0.08240473372781065,0.025203387932935386,348.0,417.0,0.08240473372781065,0.025203387932935386,348.0,417.0
164,1903,644,3638,40794,761612,0.0983613672312025,0.05754510525238904,374.0,426.0,0.0983613672312025,0.05754510525238904,374.0,426.0
165,1901,929,5506,46716,761548,0.05412952571198819,0.025120302667538723,285.0,416.0,0.05412952571198819,0.025120302667538723,285.0,416.0
166,2004,764,1916,45733,713281,0.07835071681149092,0.19429858874394726,341.0,435.0,0.07835071681149092,0.19429858874394726,341.0,435.0
167,2003,334,8049,14801,713287,0.1326777582559432,0.011009825966409216,404.0,397.0,0.1326777582559432,0.011009825966409216,404.0,397.0
168,2001,1416,3405,114282,713278,0.05699691180695202,0.06152117146547467,293.0,428.0,0.05699691180695202,0.06152117146547467,293.0,428.0
169,2002,1034,6134,63784,713272,0.059658272506537866,0.018956913679482323,300.0,409.0,0.059658272506537866,0.018956913679482323,300.0,409.0
170,2102,1073,27776,26734,723137,0.023220122137112848,0.0009373055232677749,103.0,224.0,0.023220122137112848,0.0009373055232677749,103.0,224.0
171,2103,208,16925,12279,723171,0.28381564349112426,0.0025245480866364555,433.0,320.0,0.28381564349112426,0.0025245480866364555,433.0,320.0
172,2101,1399,17964,43952,723178,0.022456559137257748,0.002240985843628671,96.0,308.0,0.022456559137257748,0.002240985843628671,96.0,308.0
173,2105,820,20614,36746,723228,0.05464901844140393,0.0017019652485141586,288.0,291.0,0.05464901844140393,0.0017019652485141586,288.0,291.0
174,2104,752,20716,22198,723450,0.03925348008148483,0.0016857637716682335,219.0,289.0,0.03925348008148483,0.0016857637716682335,219.0,289.0
175,2106,607,15820,19763,723203,0.053638359718712766,0.0028896634227345884,280.0,329.0,0.053638359718712766,0.0028896634227345884,280.0,329.0
176,2204,1144,17487,46764,755605,0.035732187393026554,0.0024709513968809624,200.0,317.0,0.035732187393026554,0.0024709513968809624,200.0,317.0
177,2206,1264,41024,19472,755607,0.01218755007210383,0.0004489727323346054,33.0,140.0,0.01218755007210383,0.0004489727323346054,33.0,140.0
178,2203,454,9698,31234,755596,0.15153602825593354,0.008033879077188635,415.0,388.0,0.15153602825593354,0.008033879077188635,415.0,388.0
179,2205,1207,28648,47105,755581,0.032333481369723284,0.0009206454529284027,174.0,221.0,0.032333481369723284,0.0009206454529284027,174.0,221.0
180,2202,1397,43090,27155,755538,0.013914160059725077,0.00040691464824980835,44.0,129.0,0.013914160059725077,0.00040691464824980835,44.0,129.0
181,2201,947,31551,32717,755445,0.036481569654185,0.0007588860923382123,202.0,195.0,0.036481569654185,0.0007588860923382123,202.0,195.0
182,2301,591,16915,23749,664180,0.06799396474471843,0.0023213562203394083,317.0,311.0,0.06799396474471843,0.0023213562203394083,317.0,311.0
183,2302,809,13939,45769,664181,0.06993174744568598,0.003418402611141395,321.0,346.0,0.06993174744568598,0.003418402611141395,321.0,346.0
184,2408,873,77450,13107,721514,0.017197875950134427,0.00012028235380413695,64.0,25.0,0.017197875950134427,0.00012028235380413695,64.0,25.0
185,2403,1686,160047,12652,720094,0.004450861114277231,2.8112153559012705e-05,2.0,1.0,0.004450861114277231,2.8112153559012705e-05,2.0,1.0
186,2402,1168,95074,15190,723447,0.011134535091011448,8.0035596812619e-05,26.0,13.0,0.011134535091011448,8.0035596812619e-05,26.0,13.0
187,2401,1158,45275,39022,722650,0.029099960923634042,0.0003525421827039556,147.0,108.0,0.029099960923634042,0.0003525421827039556,147.0,108.0
188,2404,915,100425,11085,720065,0.013240168413508913,7.139832460858876e-05,37.0,10.0,0.013240168413508913,7.139832460858876e-05,37.0,10.0
189,2406,879,44461,20355,728448,0.026344706014824477,0.00036850221471804965,128.0,113.0,0.026344706014824477,0.00036850221471804965,128.0,113.0
